ZIP,LAT,LNG
53001,43.607877, -88.055245
53002,43.463948, -88.352067
53003,43.206569, -88.509682
53004,43.497835, -87.875646
53005,43.062401, -88.098804
53006,43.620098, -88.533555
53007,43.108448, -88.072232
53010,43.612528, -88.272017
53011,43.659584, -88.091389
53012,43.314732, -88.034639
53013,43.565318, -87.846917
53014,44.026076, -88.176312
53015,43.907689, -87.785999
53016,43.310240, -88.710130
53017,43.201014, -88.251366
53018,43.048165, -88.390515
53019,43.697925, -88.321723
53020,43.861777, -88.011415
53021,43.494647, -88.009318
53022,43.232179, -88.115800
53023,43.780438, -88.106670
53024,43.333530, -87.928563
53027,43.317984, -88.372522
53029,43.146603, -88.340998
53031,43.639144, -87.915628
53032,43.449585, -88.624792
53033,43.234938, -88.253996
53034,43.330168, -88.618784
53035,43.390641, -88.546919
53036,43.179661, -88.575045
53037,43.312433, -88.163146
53038,43.084329, -88.787652
53039,43.369846, -88.713347
53040,43.526965, -88.191027
53042,43.956873, -87.972329
53044,43.742514, -87.782195
53045,43.058889, -88.152520
53046,43.157247, -88.157895
53047,43.257123, -88.630120
53048,43.573790, -88.457156
53049,43.886116, -88.288605
53050,43.510549, -88.547354
53051,43.159363, -88.121527
53057,43.794652, -88.236790
53058,43.112262, -88.411475
53059,43.288567, -88.525136
53061,43.945427, -88.120654
53063,43.957651, -87.790583
53065,43.679772, -88.571625
53066,43.112853, -88.490036
53069,43.110890, -88.435005
53070,43.620430, -87.807118
53072,43.081609, -88.270816
53073,43.750854, -87.988185
53074,43.419850, -87.884515
53075,43.564515, -87.990969
53076,43.268398, -88.207066
53078,43.317703, -88.466213
53079,43.813683, -88.180169
53080,43.405793, -87.986330
53081,43.710329, -87.733076
53083,43.815995, -87.764488
53085,43.732821, -87.855577
53086,43.317652, -88.271254
53088,44.070499, -88.300913
53089,43.144615, -88.233772
53090,43.462856, -88.188952
53091,43.499624, -88.434562
53092,43.214964, -87.951218
53093,43.652874, -87.947950
53094,43.143320, -88.723069
53095,43.389630, -88.158004
53097,43.242049, -88.009823
53098,43.253742, -88.710584
53103,42.881555, -88.212849
53104,42.547457, -88.039280
53105,42.663216, -88.280346
53108,42.815000, -87.943306
53110,42.950505, -87.860883
53114,42.596990, -88.751804
53115,42.656603, -88.668293
53118,42.962493, -88.491540
53119,42.892996, -88.485529
53120,42.802750, -88.417464
53121,42.719719, -88.534143
53122,43.047520, -88.087029
53125,42.550039, -88.554372
53126,42.794482, -87.997744
53128,42.528695, -88.334958
53129,42.939993, -88.000857
53130,42.941231, -88.049500
53132,42.883879, -88.011548
53137,43.007883, -88.669078
53139,42.685512, -88.120797
53140,42.622309, -87.828803
53142,42.518443, -87.982635
53143,42.561312, -87.829930
53144,42.622122, -87.920178
53146,42.973705, -88.155385
53147,42.565922, -88.457346
53149,42.878091, -88.342099
53150,42.871356, -88.134320
53151,42.974779, -88.098607
53153,42.934471, -88.407089
53154,42.878693, -87.898676
53156,42.889865, -88.588838
53158,42.524360, -87.885530
53167,42.744549, -88.228216
53168,42.575072, -88.135698
53170,42.550836, -88.153803
53172,42.911998, -87.859664
53177,42.704212, -87.932874
53178,43.029545, -88.596788
53179,42.513801, -88.130588
53181,42.512663, -88.243347
53182,42.702391, -88.041279
53183,43.005837, -88.370357
53184,42.526240, -88.605447
53185,42.798205, -88.194451
53186,43.022155, -88.204676
53188,43.022273, -88.292435
53189,42.944059, -88.290980
53190,42.807771, -88.736201
53191,42.588193, -88.553354
53192,42.502590, -88.184228
53195,42.513993, -88.490181
53202,43.049579, -87.892520
53203,43.038097, -87.916734
53204,43.018587, -87.926053
53205,43.053460, -87.933805
53206,43.075126, -87.933676
53207,42.977392, -87.898851
53208,43.047073, -87.967198
53209,43.127780, -87.949473
53210,43.068840, -87.973768
53211,43.082414, -87.881444
53212,43.073857, -87.908604
53213,43.048803, -88.001516
53214,43.020327, -88.012871
53215,42.999273, -87.943018
53216,43.086391, -87.976384
53217,43.158204, -87.913225
53218,43.113720, -87.992980
53219,42.995181, -87.993688
53220,42.965203, -87.991364
53221,42.953909, -87.943306
53222,43.083208, -88.036041
53223,43.163455, -87.990496
53224,43.163330, -88.039699
53225,43.115154, -88.042944
53226,43.048954, -88.042234
53227,42.995814, -88.042017
53228,42.969046, -88.043224
53233,43.036919, -87.933827
53235,42.973107, -87.867895
53295,43.022478, -87.976072
53402,42.795888, -87.816532
53403,42.684188, -87.815533
53404,42.754054, -87.811291
53405,42.726918, -87.830175
53406,42.734537, -87.864892
53501,42.606210, -89.065499
53502,42.730406, -89.438069
53503,43.142976, -89.957507
53504,42.703516, -89.860349
53505,42.661074, -88.820897
53506,43.164826, -90.286429
53507,42.984308, -89.913883
53508,42.866188, -89.575582
53510,42.745356, -90.305238
53511,42.553995, -89.094444
53515,43.115023, -89.739283
53516,42.796952, -89.873505
53517,43.056983, -89.832329
53518,43.240989, -90.595130
53520,42.596822, -89.352736
53521,42.838105, -89.400302
53522,42.556909, -89.783490
53523,42.984371, -89.028857
53525,42.544537, -88.858656
53526,42.974051, -90.343606
53527,43.051357, -89.192257
53528,43.118300, -89.638014
53529,43.242578, -89.514652
53530,42.693829, -90.105890
53531,43.062216, -89.102393
53532,43.250204, -89.326329
53533,42.996737, -90.162179
53534,42.860824, -89.093310
53536,42.761233, -89.267862
53537,42.672395, -89.210506
53538,42.920046, -88.857150
53540,43.229262, -90.284915
53541,42.566140, -90.029362
53543,43.057568, -90.345460
53544,42.877560, -89.905663
53545,42.738737, -89.040222
53546,42.652244, -88.948166
53548,42.682985, -89.124673
53549,42.984505, -88.765614
53550,42.552842, -89.493930
53551,43.081815, -88.915650
53553,42.907833, -90.302176
53554,42.908663, -90.440680
53555,43.320142, -89.555808
53556,43.238115, -90.245515
53557,43.338952, -88.797653
53558,42.997170, -89.275479
53559,43.165583, -89.081878
53560,43.192255, -89.737666
53561,43.394940, -89.638619
53562,43.115976, -89.543636
53563,42.804493, -88.915995
53565,42.833363, -90.165771
53566,42.607782, -89.649858
53569,42.989029, -90.438953
53570,42.731054, -89.619580
53571,43.277997, -89.353226
53572,42.961408, -89.733956
53573,43.187505, -90.459136
53574,42.816517, -89.650170
53575,42.933063, -89.390551
53576,42.625684, -89.233172
53577,43.311608, -90.064349
53578,43.327442, -89.775538
53579,43.295981, -88.867735
53580,42.859809, -90.378045
53581,43.372460, -90.414095
53582,43.018376, -89.978808
53583,43.250531, -89.804480
53585,42.529624, -88.715607
53586,42.573089, -90.226681
53587,42.580307, -89.904145
53588,43.193739, -90.086262
53589,42.924555, -89.212885
53590,43.200235, -89.205195
53593,42.985198, -89.579337
53594,43.190831, -88.973798
53597,43.183434, -89.457307
53598,43.210294, -89.332532
53599,42.647308, -89.857206
53702,43.060926, -88.230636
53703,43.079575, -89.378389
53704,43.136269, -89.347319
53705,43.074014, -89.460509
53706,43.074271, -89.409300
53711,43.010993, -89.411184
53713,43.036054, -89.386887
53714,43.100348, -89.311966
53715,43.068490, -89.401708
53716,43.065163, -89.313783
53717,43.067686, -89.521056
53718,43.094031, -89.278466
53719,43.045313, -89.515378
53726,43.069849, -89.422525
53792,43.077533, -89.430660
53801,42.924819, -91.074574
53802,42.805790, -90.888563
53803,42.559514, -90.353641
53804,42.874928, -90.907869
53805,43.143298, -90.686927
53806,42.729852, -90.919845
53807,42.616835, -90.472701
53808,42.626310, -90.593132
53809,42.993767, -90.633652
53810,42.820785, -91.001945
53811,42.537952, -90.506798
53813,42.844234, -90.721223
53816,42.978845, -90.854380
53817,42.945082, -90.967680
53818,42.745700, -90.492321
53820,42.699772, -90.701468
53821,43.049076, -91.057334
53825,42.918230, -90.590628
53826,43.113726, -90.924755
53827,43.045865, -90.820473
53901,43.560940, -89.483125
53910,43.886723, -89.807759
53911,43.325821, -89.367495
53913,43.492840, -89.728705
53916,43.466797, -88.867753
53919,43.733861, -88.776015
53920,43.666202, -89.595158
53922,43.520930, -88.715147
53923,43.574139, -89.138363
53924,43.483411, -90.261729
53925,43.326711, -89.057123
53926,43.666882, -89.222839
53928,43.427083, -89.156609
53929,43.751417, -90.283608
53930,43.691693, -89.486834
53931,43.743585, -88.861263
53932,43.422362, -89.055328
53933,43.584013, -88.875253
53934,43.988277, -89.820217
53935,43.587632, -89.065550
53936,43.868893, -89.707306
53937,43.386917, -90.145434
53939,43.690429, -89.130646
53941,43.570006, -90.161064
53943,43.386819, -90.035254
53944,43.685886, -89.928668
53946,43.712453, -89.020812
53947,43.746775, -89.139926
53948,43.776559, -90.040249
53949,43.783318, -89.336302
53950,43.901142, -90.137808
53951,43.387892, -89.876273
53952,43.783202, -89.597367
53953,43.772537, -89.468292
53954,43.551488, -89.313888
53955,43.406614, -89.416632
53956,43.542123, -89.017224
53959,43.533502, -89.999636
53960,43.426124, -89.235381
53961,43.457619, -89.927555
53963,43.639467, -88.743298
53964,43.912582, -89.512502
53965,43.671422, -89.748134
53968,43.646122, -90.227850
53969,43.493230, -89.301804
54001,45.334330, -92.386607
54002,44.963016, -92.369527
54003,44.794472, -92.445729
54004,45.302220, -92.125177
54005,45.236119, -92.227501
54006,45.590697, -92.646689
54007,45.190329, -92.352940
54009,45.352521, -92.577819
54010,44.734316, -92.465629
54011,44.718295, -92.464636
54013,45.082950, -92.228166
54014,44.648721, -92.572748
54015,44.971881, -92.465001
54016,44.981117, -92.694860
54017,45.120051, -92.519801
54020,45.274846, -92.641761
54021,44.734174, -92.706319
54022,44.847472, -92.606877
54023,44.981772, -92.554736
54024,45.501700, -92.640733
54025,45.143861, -92.680398
54026,45.227595, -92.534605
54027,44.919366, -92.192828
54028,44.955033, -92.283616
54082,45.068040, -92.749369
54101,44.785785, -88.075082
54102,45.501305, -87.976929
54103,45.636739, -88.516348
54104,45.448633, -88.283014
54106,44.485462, -88.456588
54107,44.701043, -88.455663
54110,44.187689, -88.075127
54111,44.812344, -88.380546
54112,45.054734, -88.054619
54113,44.261867, -88.309516
54114,45.245414, -88.108864
54115,44.397967, -88.096390
54119,45.607459, -88.159732
54120,45.803402, -88.569386
54121,45.865638, -88.326971
54123,44.210985, -88.142645
54124,44.908023, -88.345233
54125,45.579147, -88.401615
54126,44.291905, -88.050723
54127,44.796395, -88.269602
54128,44.878776, -88.811090
54129,44.131580, -88.194198
54130,44.311313, -88.244310
54135,44.927379, -88.607936
54136,44.268219, -88.338535
54137,44.756813, -88.255012
54138,45.333606, -88.409689
54139,44.956844, -88.075505
54140,44.286515, -88.309229
54141,44.728584, -87.998318
54143,45.076169, -87.698833
54149,45.196478, -88.462380
54150,44.997641, -88.853758
54151,45.725441, -87.988217
54153,44.898083, -87.916035
54154,44.873690, -88.182068
54155,44.527495, -88.200548
54156,45.628708, -88.024459
54157,45.040575, -87.821437
54159,45.193358, -87.838864
54160,44.118481, -88.101704
54161,45.122213, -88.162416
54162,44.662540, -88.270904
54165,44.516630, -88.322013
54166,44.778797, -88.634549
54169,44.176686, -88.280739
54170,44.536096, -88.576930
54171,44.715231, -88.096472
54173,44.639281, -88.030636
54174,45.036912, -88.424393
54175,45.314602, -88.618326
54177,45.396619, -87.893793
54180,44.325728, -88.175795
54201,44.624327, -87.495679
54202,45.087307, -87.140063
54204,44.755492, -87.605295
54205,44.596202, -87.632423
54207,44.087627, -87.989005
54208,44.363565, -87.799595
54209,45.017946, -87.270394
54210,45.246247, -87.035915
54211,45.160359, -87.166369
54212,45.109775, -87.209029
54213,44.695177, -87.528256
54214,44.197537, -87.713043
54216,44.438598, -87.569911
54217,44.552207, -87.719966
54220,44.101825, -87.722752
54227,44.280838, -87.810822
54228,44.268999, -87.652873
54229,44.560061, -87.815517
54230,44.159852, -87.915046
54232,44.007088, -87.923943
54234,45.181963, -87.101510
54235,44.840884, -87.372795
54241,44.215871, -87.594706
54245,44.030924, -87.898061
54246,45.373209, -86.899374
54247,44.199973, -87.790095
54301,44.480778, -88.016063
54302,44.507653, -87.976828
54303,44.538066, -88.048764
54304,44.492790, -88.067301
54307,44.470428, -88.036639
54311,44.480461, -87.892165
54313,44.583773, -88.115037
54401,44.963304, -89.704051
54403,45.018422, -89.525216
54405,44.967530, -90.282268
54406,44.412217, -89.304930
54407,44.532182, -89.281795
54408,45.025581, -89.323997
54409,45.122200, -89.170828
54410,44.542287, -90.030459
54411,45.062560, -90.033418
54412,44.663265, -89.974160
54413,44.273243, -90.130097
54414,44.959673, -89.176857
54416,44.884118, -88.948420
54417,45.026967, -89.653285
54418,45.220630, -88.940257
54420,44.610077, -90.350683
54421,44.895191, -90.288689
54422,44.985893, -90.457501
54423,44.585282, -89.421676
54424,45.286659, -89.192153
54425,45.006838, -90.341197
54426,44.907469, -90.009790
54427,44.817219, -89.258344
54428,45.421166, -89.135714
54430,45.147626, -88.873267
54433,45.202063, -90.791986
54435,45.360466, -89.438199
54436,44.534622, -90.427124
54437,44.777208, -90.629136
54440,44.811220, -89.383375
54441,44.642520, -90.104884
54442,45.358854, -89.658980
54443,44.608922, -89.751725
54446,44.747785, -90.466411
54447,45.085986, -90.747239
54448,44.933905, -89.831679
54449,44.638430, -90.208401
54450,45.004292, -89.040970
54451,45.197390, -90.407651
54452,45.217729, -89.793643
54454,44.606715, -89.882882
54455,44.766821, -89.684474
54456,44.544396, -90.632781
54457,44.214082, -89.900133
54458,44.497209, -89.306325
54459,45.412581, -90.237356
54460,44.938751, -90.543261
54462,45.392002, -89.007393
54463,45.502530, -89.219035
54465,45.383296, -88.891217
54466,44.379773, -90.306505
54467,44.413919, -89.538901
54469,44.345145, -89.874045
54470,45.286613, -90.141512
54471,44.930719, -89.424316
54473,44.650645, -89.352368
54474,44.873714, -89.619750
54475,44.484665, -89.793069
54476,44.889960, -89.520725
54479,44.750611, -90.331989
54480,45.054310, -90.269289
54481,44.510664, -89.638254
54482,44.546890, -89.525593
54484,44.799824, -90.078596
54485,45.410997, -89.231170
54486,44.717991, -89.045228
54487,45.514195, -89.775405
54488,44.840396, -90.333122
54489,44.460777, -90.003987
54490,45.343391, -90.392334
54491,45.234365, -88.754355
54493,44.696760, -90.810720
54494,44.340837, -89.734920
54495,44.378213, -89.964060
54498,45.035112, -90.629022
54499,44.789831, -89.176405
54501,45.657611, -89.349282
54511,45.737470, -88.823099
54512,46.091151, -89.659025
54513,45.578383, -90.141311
54514,46.041777, -90.473291
54515,45.512631, -90.491015
54517,46.145917, -90.930676
54519,46.050780, -89.263108
54520,45.536731, -88.903792
54521,45.936699, -89.291450
54524,45.832548, -90.347035
54525,46.423303, -90.219958
54526,45.529271, -90.857180
54527,46.125898, -90.685679
54529,45.677711, -89.667165
54530,45.533993, -90.741634
54531,45.752824, -89.774651
54534,46.347714, -90.228091
54536,46.305770, -90.354628
54537,45.528805, -90.603457
54538,45.970064, -89.911919
54539,45.813350, -89.562140
54540,46.154791, -89.372738
54541,45.556555, -88.619289
54542,45.920297, -88.715510
54545,46.136882, -89.830455
54546,46.299672, -90.694721
54547,46.211350, -90.106130
54548,45.865998, -89.831729
54550,46.361796, -90.276637
54552,45.939245, -90.316610
54554,46.047221, -89.067188
54555,45.705551, -90.404624
54556,45.535094, -90.297332
54557,46.211775, -89.747843
54558,45.925286, -89.499516
54559,46.495208, -90.491230
54560,46.036677, -89.552305
54561,46.097549, -89.513390
54562,45.802654, -89.079344
54563,45.460162, -90.970548
54564,45.604132, -89.961429
54565,46.284828, -90.465513
54566,45.420139, -88.601253
54568,45.958050, -89.653069
54601,43.806197, -91.140529
54603,43.856762, -91.241935
54610,44.365117, -91.831714
54611,44.447714, -90.952181
54612,44.249551, -91.501347
54613,44.075585, -89.923744
54614,43.904933, -90.952867
54615,44.260473, -90.813319
54616,44.300810, -91.223510
54618,43.963629, -90.285854
54619,43.757289, -90.774100
54621,43.656295, -91.080952
54622,44.273358, -91.773881
54623,43.732988, -91.006259
54624,43.461506, -91.131141
54625,44.133418, -91.525003
54626,43.219646, -91.054037
54627,44.171387, -91.226981
54628,43.372994, -91.026177
54629,44.174054, -91.639340
54630,44.122714, -91.372889
54631,43.285012, -90.830887
54632,43.568829, -91.146482
54634,43.581742, -90.422353
54635,44.402903, -91.045552
54636,44.002965, -91.224012
54637,43.878545, -90.270235
54638,43.800044, -90.404178
54639,43.601953, -90.637797
54641,44.270653, -90.330096
54642,44.152060, -91.045009
54643,44.186970, -90.638180
54644,44.036084, -91.063408
54645,43.321145, -90.932642
54646,44.113755, -90.098056
54648,43.829428, -90.652565
54650,43.910343, -91.227022
54651,43.723614, -90.573224
54652,43.475648, -90.772308
54653,43.815991, -90.901451
54654,43.269653, -90.964018
54655,43.371015, -90.759096
54656,43.990000, -90.803057
54657,43.188044, -90.895886
54658,43.682130, -91.168090
54659,44.299071, -91.114785
54660,43.982544, -90.494405
54661,44.057603, -91.467828
54664,43.488330, -90.642904
54665,43.531971, -90.928690
54666,44.170076, -90.449672
54667,43.664049, -90.860047
54669,43.911245, -91.083899
54670,43.837346, -90.485881
54701,44.751984, -91.514998
54703,44.836452, -91.518514
54720,44.804142, -91.435752
54721,44.633744, -92.082731
54722,44.711812, -91.096003
54723,44.610579, -92.419425
54724,45.105047, -91.486480
54725,45.073212, -91.990956
54726,44.937235, -91.025904
54727,44.953953, -91.159106
54728,45.308101, -91.637835
54729,44.945626, -91.392954
54730,45.018910, -91.719575
54731,45.349837, -91.090398
54732,45.144614, -91.170492
54733,45.278660, -91.850182
54734,45.098741, -92.125756
54736,44.598579, -91.906496
54737,44.718395, -91.981576
54738,44.588229, -91.488743
54739,44.859764, -91.701174
54740,44.751437, -92.166807
54741,44.620349, -90.974612
54742,44.766442, -91.267012
54745,45.251132, -91.123401
54746,44.553241, -90.880056
54747,44.401401, -91.512110
54748,45.075083, -91.263020
54749,44.948045, -92.107164
54750,44.613789, -92.294549
54751,44.850670, -91.931558
54754,44.427159, -90.753321
54755,44.575768, -91.681302
54756,44.468071, -91.939604
54757,45.237197, -91.522349
54758,44.557943, -91.216523
54759,44.489082, -92.129260
54760,44.424047, -91.206361
54761,44.623256, -92.178330
54762,45.246203, -91.993154
54763,45.179864, -91.881737
54765,45.169133, -91.685590
54766,45.340713, -90.858047
54767,44.823835, -92.267998
54768,44.957090, -90.929805
54769,44.528229, -92.239712
54770,44.548564, -91.371914
54771,44.936960, -90.812536
54772,45.100596, -91.881707
54773,44.389993, -91.296378
54801,45.878861, -91.942767
54805,45.412053, -92.023417
54806,46.552396, -90.870143
54810,45.457085, -92.374415
54812,45.392528, -91.882516
54813,45.652939, -92.044813
54814,46.863246, -90.901161
54817,45.669726, -91.546559
54819,45.486919, -91.305291
54820,46.572526, -91.565044
54821,46.216959, -91.166168
54822,45.400937, -91.694413
54824,45.484715, -92.539887
54826,45.495241, -92.159669
54827,46.788281, -91.096741
54828,45.840986, -91.294248
54829,45.566650, -92.047243
54830,46.106014, -92.225683
54832,46.319287, -91.343441
54835,45.691601, -91.247086
54836,46.454438, -92.195041
54837,45.674284, -92.357709
54838,46.258705, -91.818848
54839,46.361577, -91.139982
54840,45.751262, -92.692383
54841,45.606667, -91.778611
54842,46.505367, -91.854667
54843,46.023604, -91.293027
54844,46.804784, -91.233188
54845,45.797327, -92.193787
54846,46.378316, -90.720238
54847,46.579326, -91.399850
54848,45.516039, -91.103822
54849,46.481185, -91.725682
54850,46.940645, -90.570830
54853,45.568137, -92.450171
54854,46.650264, -91.666996
54855,46.378032, -90.831029
54856,46.442747, -91.129309
54857,45.596234, -91.605637
54858,45.519382, -92.457844
54859,46.123003, -91.803653
54861,46.614971, -90.656678
54862,45.778701, -91.142381
54864,46.613354, -91.790631
54865,46.739717, -91.374991
54867,45.821681, -91.203126
54868,45.525662, -91.707548
54870,45.709205, -91.775310
54871,45.749634, -92.002023
54872,45.777070, -92.401715
54873,46.339278, -91.697041
54874,46.565542, -91.942807
54875,45.965643, -91.692217
54876,45.836042, -91.493513
54880,46.590874, -92.128310
54888,45.974818, -91.866955
54889,45.415113, -92.170107
54891,46.699590, -90.964839
54893,45.878675, -92.325953
54895,45.449432, -91.460760
54896,45.817173, -90.881747
54901,44.062759, -88.535773
54902,43.946895, -88.540285
54904,44.023400, -88.623839
54909,44.280703, -89.367441
54911,44.281533, -88.381003
54913,44.335996, -88.399970
54914,44.280839, -88.452033
54915,44.243351, -88.355904
54921,44.295220, -89.559173
54922,44.544821, -88.762140
54923,43.997757, -88.966832
54927,44.103128, -88.654369
54928,44.746498, -88.874634
54929,44.636591, -88.739379
54930,44.032633, -89.554853
54931,44.274505, -88.679132
54932,43.831997, -88.590949
54933,44.670474, -88.703194
54934,44.002969, -88.839265
54935,43.773660, -88.436782
54937,43.792050, -88.390935
54940,44.220370, -88.842561
54941,43.844703, -88.992882
54942,44.294108, -88.547362
54943,44.132814, -89.590410
54944,44.324687, -88.626957
54945,44.568660, -89.136883
54946,44.336605, -89.144400
54947,44.203594, -88.698749
54948,44.780628, -88.872845
54949,44.483988, -88.915485
54950,44.657218, -88.918064
54952,44.201040, -88.329484
54956,44.182337, -88.527574
54960,43.941908, -89.219067
54961,44.410151, -88.761690
54962,44.486188, -89.030971
54963,44.044194, -88.779090
54964,43.921644, -88.717019
54965,44.167973, -89.043887
54966,44.210019, -89.504888
54967,44.126740, -88.975792
54968,43.847027, -89.135933
54970,44.072751, -89.098184
54971,43.857164, -88.828882
54974,43.787591, -88.663488
54977,44.461173, -89.171213
54979,43.872511, -88.536374
54980,43.983584, -88.767287
54981,44.322663, -89.131504
54982,44.072748, -89.290882
54983,44.319336, -88.933068
54984,44.190566, -89.223457
54985,44.075066, -88.518469
54986,44.123302, -88.749906
59824,47.422742,-114.203035
